,precision,recall,accuracy,roc_auc,f1_score,mcc,aupr
0,0.6527372549019608,0.7037613313489379,0.6646766337437424,0.7259442934560001,0.6772896694282133,0.33036415162736354,0.7260289080024535
1,0.7066676366810957,0.6571167636314437,0.6921762954945203,0.761445051544312,0.6809920252388046,0.38530095948982246,0.7560592871976999
2,0.6871925091255356,0.7323095656879989,0.699482478690299,0.7665952792316661,0.7090340434590381,0.39982761056763644,0.75241692112097
3,0.7232760364004045,0.6048910837505074,0.686730483019889,0.7619565871333567,0.6588074932306729,0.37856643215062297,0.7458036619123305
4,0.706987177341056,0.714280882153971,0.7091225815180625,0.777486351568379,0.7106153147241431,0.4182674222023056,0.7621513924684942
5,0.7234103734588979,0.6807603842511162,0.7102388039507509,0.7812701354622461,0.7014376579245448,0.421210289438733,0.7674882349915291
6,0.7328215967664182,0.6684481125693411,0.7123697740495197,0.786902229279757,0.6991562151739753,0.4263878340563973,0.7672516724218471
7,0.7428675194705622,0.6226829928291165,0.7035752942768232,0.7810518540771163,0.6774864292943233,0.4125859566477932,0.7675650964589332
8,0.76204629379447,0.5723853335137329,0.6968272222973887,0.7850726212292809,0.6537376859184856,0.40644386835529234,0.767138797230402
9,0.7393261799354693,0.6665539169259911,0.715769178730889,0.7887800204536664,0.7010566010886193,0.43364416593339555,0.7702991179814744
10,0.7153630539241858,0.725138682181031,0.7183060478960899,0.7894070875335166,0.7202176980447491,0.4366528678790299,0.7676206084690353
11,0.7050503102195648,0.7418481937491543,0.7157522662697876,0.7848446227874515,0.7229813255097163,0.43209344290866053,0.7541793099179711
12,0.7533600669810073,0.5782708699769991,0.6944763902043025,0.7787560412565016,0.6543046864534895,0.39990306292222133,0.7535434293892478
13,0.7578289013296011,0.5860844270058179,0.6993979163847923,0.784406479980067,0.6609826810101472,0.409449029769326,0.764865451682892
14,0.7357324889952892,0.6445000676498444,0.7065011500473549,0.7821461190279196,0.6871010782157153,0.41621466678792324,0.755271624455309
15,0.7121232876712329,0.7033554322825057,0.7095115681233933,0.7779383222748888,0.7077122047512083,0.41905490014294866,0.7488282085512056
16,0.7496600881710683,0.6154444594777432,0.704962116087133,0.7851213026193093,0.6759543048202842,0.41665629446046465,0.7570823819622454
17,0.7359797364150868,0.6290082532810175,0.7016810986334732,0.7768623633298779,0.678302420163776,0.40769150070874643,0.75444211272853
18,0.7262416157962167,0.6519077256122311,0.7030848329048843,0.7765326252564191,0.6870699796798688,0.4083141251810886,0.7426185283198015
19,0.7136055146928189,0.679305912596401,0.7033385198214044,0.7702692368158452,0.6960334101582131,0.40714762100864266,0.7388631760472142
20,0.7382528661391894,0.6185901772425924,0.699634690840211,0.7770610201047357,0.6731448763250883,0.40462002084750626,0.7469741348181755
21,0.7403525085591107,0.5924773373021242,0.6923454201055338,0.7742634328006022,0.6582116754034909,0.3926018799509388,0.7410297656565273
22,0.7239197251853191,0.6771749424976322,0.7094608307400893,0.7810279527262411,0.6997675597266643,0.41979775202104647,0.7517849918423708
23,0.7304724618951689,0.6500473548910838,0.7050974157759438,0.778740119035901,0.6879172408855798,0.4127038640986442,0.7456257246669294
24,0.7054709995886467,0.6961168989311325,0.7027465836828576,0.7707715072777082,0.7007627349496051,0.40552881712171424,0.7348932885593659
25,0.7255667317219636,0.6539033960221892,0.7032877824381004,0.7732766670085008,0.6878736122971819,0.4085733206067931,0.7447017151895939
26,0.7271969065130033,0.6488296576917874,0.7027127587606549,0.7764144571287166,0.6857817024775661,0.4078004392560114,0.7443078612147763
27,0.7302830338686596,0.6213976457854147,0.6959477743201191,0.7728996056218183,0.671454678362573,0.39632564348479754,0.7410212332556939
28,0.7299181188326684,0.5879786226491679,0.6852083615207685,0.7662994764885076,0.6513048202476629,0.3776253830604584,0.7257283283899032
29,0.7427013717903623,0.5713705858476525,0.6867135705587877,0.7703983359172566,0.6458667890188882,0.3837783121895765,0.7382679694628178
30,0.7267797392407984,0.6391895548640238,0.6994486537680963,0.773148178870033,0.6801763700170972,0.4018261710417053,0.7410527210236486
31,0.7265545161543904,0.6252536869165201,0.6949668515762414,0.7685971313509552,0.6721084972548449,0.39377996995874737,0.7247187676744136
32,0.7311867152693398,0.6106413205249628,0.6930726559328914,0.7701325035379559,0.6654993180226342,0.39150242304612776,0.7356423899074348
33,0.7226673655833458,0.6528548234339061,0.7011568123393316,0.7738331272519476,0.6859894796701734,0.40420412857867266,0.7377263090235647
34,0.7277065667521199,0.624103639561629,0.6952881883371669,0.7718127128427852,0.6719350315919809,0.3945958726600199,0.7383191437013644
35,0.737014951171031,0.5769178730888919,0.685529698281694,0.7676168956543574,0.6472128410427654,0.38013634541028124,0.7316859161177908
36,0.7295195778950292,0.622006494385063,0.695694087403599,0.7698922618106278,0.6714867356812912,0.39570905601995915,0.736167116418686
37,0.7264802889901052,0.6258287105939656,0.695102151265052,0.7685897803455042,0.6724087803459804,0.39400412708023747,0.735259639463798
38,0.7227404179055843,0.600189419564335,0.6849715870653498,0.7612733572277355,0.6557885983553543,0.37537899219313436,0.7249283879281967
39,0.7433833014545617,0.5652820998511704,0.6850730618319578,0.7700880925958413,0.6422134691132674,0.3812495786004635,0.7381924619424896
40,0.7234427812650893,0.6081382762819646,0.6878297929914762,0.7635106154285104,0.6607982946192297,0.3805238915823901,0.7301092121391283
41,0.7379626456477039,0.58270193478555,0.6878974428358815,0.7688769397936155,0.6512058667876314,0.38439876092013703,0.737284031847718
42,0.723646608975649,0.6081382762819646,0.6879481802191855,0.76312345541932,0.6608833097465493,0.38077848750139365,0.7295892775173133
43,0.7085997752199357,0.6184548775537816,0.6820626437559194,0.7533087922409483,0.6604656203153503,0.367108004388733,0.7141610390203532
44,0.7378462090945819,0.5559802462454336,0.6792213502908944,0.7643536905163962,0.6341312860477228,0.3698536790808276,0.7327561883116529
45,0.7269619208551106,0.6257272358273576,0.6953558381815722,0.7702001711163045,0.6725563978113468,0.3945561346378808,0.7395737727407223
46,0.727824578790882,0.5961642538222162,0.6866120957921796,0.7636013354167155,0.6554481219784306,0.3794848226987723,0.7296796575780147
47,0.7262226591300074,0.5997158706534975,0.6868150453253957,0.7633760897405072,0.656934306569343,0.3794313746181205,0.7274800222847525
48,0.7295569759753141,0.5598024624543364,0.6761432823704505,0.756521304044432,0.6335049474631094,0.3622286705793638,0.7274830110975614
49,0.7226506024096385,0.6086456501150047,0.687525368691652,0.7616440086520774,0.6607667450058754,0.3798068402741292,0.7281553354921559
50,0.7286779941980936,0.5947436070897036,0.6866459207143824,0.763242438736343,0.6549335121242597,0.3797619226446298,0.7294832633127952
51,0.7232459989135431,0.585441753483967,0.6807096468678122,0.7601101690209989,0.6470885129451351,0.3681639654057118,0.7249702250316447
52,0.7098628442536472,0.6599918820186713,0.6951190637261534,0.7637102704527465,0.6840195614450229,0.39120475153263934,0.7283904397662078
53,0.7251221498371335,0.6023880395075092,0.6870179948586118,0.7617793403763982,0.6580814426132584,0.3795117947047341,0.7276584928072161
54,0.727375173370319,0.5676498444053578,0.6774455418752536,0.7608556828230775,0.637662436355346,0.3637700065293985,0.7269718778340931
55,0.7333132374472483,0.5760046001894196,0.6832634284941145,0.7653387818810303,0.6452089569203955,0.37526293654070936,0.7330959915020903
56,0.7233645652266079,0.577120822622108,0.6782066026248139,0.7570347039857538,0.6420199055521062,0.36392828004444655,0.7249455972417945
57,0.7136494629290019,0.6449736165606819,0.6930895683939927,0.7629540281871483,0.6775758221843186,0.3879797739484405,0.7295520759588218
58,0.7114150366748166,0.6298877012582871,0.6871871194696252,0.7589554667920725,0.6681736634373879,0.37685702901156115,0.7232369289600687
59,0.731614135625597,0.5700175889595454,0.6804559599512922,0.7614503454123621,0.6407848207156165,0.37005155301407944,0.7311144635910978
60,0.7268209811000212,0.5788458936544446,0.6806419970234069,0.7604078835976376,0.6444482102845093,0.369012678077648,0.7306248285766846
61,0.7326274579588932,0.5570288188337167,0.6768705181978082,0.7597905690423732,0.6328734483686254,0.36436177959582644,0.7287070843331205
62,0.7155516873046643,0.6117913678798539,0.6842950886212962,0.7577567489163439,0.6596159807443336,0.3725275835183878,0.7245466052486235
63,0.7275193962776105,0.5804356649979705,0.6815214450006765,0.7592725582758423,0.6457075125585596,0.370697753603212,0.7280003616062707
64,0.7339819004524887,0.5486740630496549,0.6749086727100527,0.7614027938461286,0.6279420873335398,0.36152910752251116,0.7294288057639355
65,0.7316573245210407,0.5916317142470572,0.687322419158436,0.7658097113168515,0.6542360201982419,0.381700284032743,0.7345852727618813
66,0.7318454503502958,0.590075767825734,0.6869334325531051,0.7663377657878728,0.65335855133799,0.3810854692359917,0.7365226003739394
67,0.720168783219053,0.6003923690975511,0.6835509403328373,0.7585478818569195,0.6548486469535703,0.3722869768408231,0.7279157571825872
68,0.7198895476325834,0.5996482208090922,0.6831619537275064,0.7569685609544503,0.6542904594943716,0.37154325680783634,0.7245142303346345
69,0.7255094629811595,0.5744148288458937,0.6785448518468408,0.7577126016951251,0.6411810235789395,0.36509496176270356,0.7262492707294446
70,0.7321428571428571,0.5394736842105263,0.6710526315789473,0.7578552764160195,0.6212121212121212,0.3546040716334876,0.7273033186037146
71,0.7322239031770046,0.5729941821133812,0.6817243945338926,0.7614138186381171,0.642896449648001,0.3723596768275533,0.7285732413013261
72,0.7332961421276231,0.5780002705993776,0.683889189554864,0.7643056109363082,0.6464524183327974,0.3763139958797304,0.7352170941942031
73,0.7181760857570741,0.6163915572994182,0.6872547693140306,0.7617444342557284,0.6634023808657031,0.3783284371050522,0.7298443079917368
74,0.7211859574814694,0.5989717223650386,0.6837031524827493,0.75921798692845,0.654421818988137,0.3727982447326438,0.7274617357969325
75,0.7344203707840071,0.5560817210120417,0.6774962792585577,0.7635473281231268,0.6329284490558047,0.3659456484040141,0.7324518581009305
76,0.7249928521831475,0.6003923690975511,0.6863245839534569,0.7637566561552361,0.6568357170610766,0.37827770917180664,0.7320820965373308
77,0.7211791831357048,0.5924773373021242,0.6817074820727912,0.7584780141254999,0.6505236574314789,0.3693440009291999,0.726968175652652
78,0.71873125074997,0.6078000270599377,0.6849715870653498,0.7604597988580019,0.658627325208467,0.3744298516431761,0.729500392994896
79,0.7364153951263949,0.546881342172913,0.675568258693005,0.7615719928252905,0.6276519342378539,0.36337802861829327,0.7314309298289068
80,0.7185334407735697,0.6032336625625762,0.6834663780273306,0.7597271862135054,0.6558546631362167,0.37175009419685007,0.7314886876068571
