,precision,recall,accuracy,roc_auc,f1,average_precision,mcc,aupr,method,fold,run
0,0.6792452830188679,0.5807962529274004,0.6532656778558418,0.709266636372765,0.6261747790713984,0.7024129962370634,0.3098026816277407,0.7348217047412839,Naive Bayes,0,0
1,0.6883938393839384,0.6513140775435857,0.6782461618527192,0.7378575386279408,0.6693408209653696,0.719405951579771,0.35701060602981477,0.7570254390778657,Logistic Regression,0,0
2,0.8608094768015795,0.22690606297163673,0.5951079885506115,0.7920482096906765,0.35914332784184516,0.7742052460976236,0.28115906594531376,0.737131254143699,Random Forest,0,0
3,0.6766644693473962,0.6137518684603886,0.6602391629297459,0.7111177247347289,0.6436745571406177,0.6998272120714543,0.3218725225227326,0.7417702017887953,Naive Bayes,1,0
4,0.6984429615506832,0.657100149476831,0.6866965620328849,0.7522805606386616,0.6771410967344423,0.7461944878874393,0.3740489937411559,0.7634965181445492,Logistic Regression,1,0
5,0.8871662360034454,0.30792227204783257,0.6343796711509716,0.8064050263539495,0.4571682201509099,0.8030111288252618,0.3548299637705367,0.7705636860136809,Random Forest,1,0
6,0.6542372881355932,0.6658452439625431,0.6569738787580088,0.7194692483872951,0.6599902296042989,0.719611515876476,0.31399718526702997,0.7435799550584326,Naive Bayes,2,0
7,0.6984330850244028,0.6700344997535732,0.6903647116806308,0.7519466382111915,0.6839391271538171,0.7582855284426882,0.38104453842268643,0.7667251674505946,Logistic Regression,2,0
8,0.8554794520547945,0.3077870872350912,0.6278955150320354,0.7735166053291832,0.45270025371511413,0.7736249546776107,0.33297702516648947,0.75468649783617,Random Forest,2,0
9,0.6168539325842697,0.6742400982499233,0.6277249002149217,0.6846662850067906,0.6442716737567845,0.6864602089882115,0.25656244270649514,0.7269869908546157,Naive Bayes,3,0
10,0.6673260797889878,0.6214307645072152,0.6558182376420019,0.7197682627597215,0.6435612082670907,0.7253269381478673,0.31237611941434235,0.7390207310212978,Logistic Regression,3,0
11,0.8415384615384616,0.33589192508443355,0.6363217684986183,0.7859955680823119,0.48014044327408384,0.7711562414092079,0.34107962451509893,0.7547422120403391,Random Forest,3,0
12,0.6739547372458765,0.551821608040201,0.6424309045226131,0.6904029806696801,0.6068036608530478,0.685288980034791,0.2896577179292388,0.7249327706329884,Naive Bayes,4,0
13,0.6900584795321637,0.6670854271356784,0.6837311557788944,0.7521528220562612,0.6783775151708719,0.7355613804100556,0.36766611410431377,0.7618005965500014,Logistic Regression,4,0
14,0.8926096997690531,0.24277638190954773,0.6067839195979899,0.8194355394276659,0.3817283950617284,0.8061945282177052,0.31152268235604164,0.7569989453619135,Random Forest,4,0
