,precision,recall,accuracy,roc_auc,f1_score,mcc,aupr
0,0.6358829749735636,0.8730792498487598,0.6865698729582577,0.7855958606489731,0.7358384744812115,0.4021666018144744,0.7732605345079628
1,0.7659519168291098,0.7131276467029644,0.747610405323654,0.8311387350868775,0.7385964912280701,0.496402723570951,0.816114390046415
2,0.7960562603419746,0.6984875983061101,0.7597701149425288,0.8517277977052484,0.7440871302442482,0.523487068933388,0.8351263375632676
3,0.8036058353977429,0.7064730792498488,0.766908650937689,0.8639007630263258,0.7519155237911275,0.5377600479046163,0.8459168682838168
4,0.7100235294117647,0.9127646702964307,0.7699939503932245,0.8655330296452691,0.7987294865007941,0.5634462158830753,0.848283237390414
5,0.8109844016253769,0.7485783424077435,0.7870538415003024,0.8778450737060227,0.7785327796652826,0.5758150460368547,0.8634209204313061
6,0.7724931506849315,0.8528735632183908,0.8008469449485783,0.8806455182953943,0.8106958021851639,0.6049778737939041,0.8642031296471697
7,0.7764629247638692,0.8653357531760436,0.8081064730792499,0.8874641680656155,0.818493934538796,0.6202894739661102,0.8742365704207697
8,0.7687395309882747,0.8884452510586812,0.8105868118572293,0.8941326280216467,0.8242689566144693,0.6288444392489905,0.8806565492652944
9,0.8207665330661322,0.7928614640048397,0.8098608590441622,0.8944462999499709,0.8065727121669026,0.620080202562011,0.8801272271696574
10,0.7525497574017229,0.9195402298850575,0.8085904416212946,0.8984640293601727,0.8277063820518404,0.6329608993292343,0.8835854652689745
11,0.7774496361143339,0.8918330308529946,0.81826981246219,0.8996609804754706,0.8307224163191707,0.6435428555223722,0.8843121773693534
12,0.781772311573636,0.8998185117967332,0.8243194192377495,0.904421541577414,0.836652041849477,0.6561623700125686,0.8909951231591129
13,0.7570259343260034,0.9288566243194193,0.8153660012099213,0.9075018783791153,0.8341845050527004,0.6476358623866662,0.8966570860424278
14,0.7934841433055525,0.8869933454325469,0.8280701754385965,0.9091998891820366,0.8376371115173674,0.6607445228017911,0.897025634250209
15,0.7867902665121669,0.9036902601330914,0.8294010889292196,0.9113019976145591,0.8411983331456245,0.6661965328813414,0.9007981501295146
16,0.8106153332591521,0.8814277071990321,0.8377495462794918,0.9144177390720056,0.8445397635056805,0.6780913480733423,0.9039016204833614
17,0.8064092748550804,0.892075015124017,0.8389594676346037,0.9177867149464081,0.8470818014705884,0.6817767912392066,0.9084136142274168
18,0.8161641071628741,0.8809437386569873,0.8412583182093164,0.9184249649302136,0.8473175840800651,0.6846766829727281,0.9089397811280294
19,0.8215668412662264,0.8729582577132486,0.8416817906836056,0.9188460365926185,0.8464832521851352,0.6847044739840432,0.9094111712773966
20,0.7780366730827677,0.9292196007259528,0.8320629159104658,0.9197197784079909,0.846934274371416,0.6770303650486226,0.9106433463848103
21,0.7881619937694704,0.9183303085299456,0.8357531760435571,0.9170443443862173,0.8482816429170159,0.6808560394817051,0.9063867618642689
22,0.8283650538867232,0.8741681790683605,0.8465214761040533,0.9243426222062657,0.8506504974392182,0.6941048288908072,0.915497688612713
23,0.8348235294117647,0.8585601935874169,0.8443436176648518,0.9253596734603056,0.8465254995526393,0.6889657868103534,0.9173530950810674
24,0.830797602581835,0.8721113127646702,0.8472474289171203,0.9243143175124953,0.8509533085414085,0.6953551447946176,0.9169435275325296
25,0.8100396867960957,0.9137326073805203,0.8497277676950998,0.9293941719559553,0.8587673413691154,0.7052577483224245,0.9217529924181439
26,0.8081676518001075,0.9098608590441621,0.8469449485783425,0.9270502476020245,0.8560045532157086,0.6994494093809459,0.919405908881072
27,0.8275087088436903,0.8909860859044162,0.8526315789473684,0.9290451173305315,0.8580750407830343,0.7073473407576845,0.9214328099976968
28,0.8330308529945554,0.8885662431941924,0.8552329098608591,0.931275061676345,0.8599028159943798,0.7120499149318312,0.9252514539069553
29,0.8377066235117328,0.8768300060496068,0.8534785238959468,0.9298634721229508,0.8568219437219201,0.7077293069887824,0.9229433498796216
30,0.799665061754239,0.9243799153055051,0.8464004839685421,0.9339897211581429,0.8575116448734497,0.7013834100975614,0.9297827259575747
31,0.8245088245088245,0.8987295825771325,0.8537205081669691,0.9328029442151597,0.8600208405696421,0.7103248463131132,0.9271470872451932
32,0.8341530367150863,0.8823956442831216,0.8534785238959468,0.9327888980017267,0.8575964252116649,0.7081423367942773,0.9268547026571297
33,0.8376880443388757,0.8960677555958863,0.861222020568663,0.9359441723402316,0.8658950075996726,0.7242048774879242,0.9308586658662651
34,0.7864998486530118,0.9431336963097399,0.8435571687840291,0.9355061559232165,0.857724471830986,0.7011596895561555,0.9314164415001462
35,0.8016029978140939,0.9317604355716879,0.8505747126436781,0.9357726167641814,0.8617949865711728,0.7105790174466451,0.931422689804904
36,0.848625989753144,0.8817906836055657,0.8622504537205081,0.937804150110763,0.8648905239423249,0.7250548007044951,0.9330925499954112
37,0.8431597023468803,0.8911070780399274,0.8626739261947973,0.9376940494633124,0.866470588235294,0.7265235109399895,0.9322867626841365
38,0.8321654988321655,0.9052631578947369,0.8613430127041742,0.9370233885190686,0.8671766342141864,0.7254903569299058,0.9314569091537651
39,0.8420334356874787,0.8958257713248639,0.8638838475499092,0.9396496644536012,0.8680970805487161,0.7292573192847872,0.9351257645415157
40,0.8407520670517612,0.8981246218995765,0.8640048396854204,0.939713856893313,0.8684918684918685,0.729710661148481,0.9356283427074757
41,0.8339073436284857,0.9081669691470055,0.8636418632788869,0.9399800542305342,0.8694544190895401,0.7301846493465023,0.9358574749139739
42,0.8370485956308515,0.9086509376890503,0.8658802177858439,0.9417748294636712,0.871381330858038,0.7344524877988513,0.9376693866107924
43,0.8298291721419185,0.9168784029038113,0.8644283121597096,0.9414210610490598,0.8711846870150026,0.7329002136469914,0.9378358381537247
